collision_datetime,collision_time,accident_year,month,day_of_week,analysis_neighborhood
06/03/2024 04:15:00 PM,16:15:00,2024,June,Monday,Mission
07/07/2014 12:57:00 PM,12:57:00,2014,July,Monday,Inner Richmond
06/19/2020 02:51:00 PM,14:51:00,2020,June,Friday,Tenderloin
02/06/2008 04:15:00 PM,16:15:00,2008,February,Wednesday,Castro/Upper Market
03/24/2008 05:00:00 PM,17:00:00,2008,March,Monday,Lakeshore
04/02/2015 05:21:00 PM,17:21:00,2015,April,Thursday,Tenderloin
05/25/2008 05:24:00 PM,17:24:00,2008,May,Sunday,Visitacion Valley
11/15/2021 01:16:00 AM,01:16:00,2021,November,Monday,Bernal Heights
07/07/2016 07:22:00 AM,07:22:00,2016,July,Thursday,Oceanview/Merced/Ingleside
03/10/2008 08:15:00 AM,08:15:00,2008,March,Monday,Japantown
03/22/2008 08:08:00 PM,20:08:00,2008,March,Saturday,Bayview Hunters Point
06/01/2020 08:21:00 AM,08:21:00,2020,June,Monday,Western Addition
08/06/2024 10:00:00 PM,22:00:00,2024,August,Tuesday,Inner Sunset
08/18/2015 06:20:00 AM,06:20:00,2015,August,Tuesday,Western Addition
07/06/2020 04:52:00 PM,16:52:00,2020,July,Monday,Western Addition
08/24/2021 11:58:00 PM,23:58:00,2021,August,Tuesday,South of Market
03/04/2020 02:02:00 PM,14:02:00,2020,March,Wednesday,Bayview Hunters Point
10/31/2024 05:08:00 PM,17:08:00,2024,October,Thursday,West of Twin Peaks
09/10/2014 10:55:00 AM,10:55:00,2014,September,Wednesday,Financial District/South Beach
03/18/2021 03:30:00 PM,15:30:00,2021,March,Thursday,Sunset/Parkside
03/13/2008 06:10:00 PM,18:10:00,2008,March,Thursday,Financial District/South Beach
09/04/2019 10:20:00 AM,10:20:00,2019,September,Wednesday,Mission
11/03/2021 05:39:00 PM,17:39:00,2021,November,Wednesday,Inner Richmond
07/26/2017 06:15:00 AM,06:15:00,2017,July,Wednesday,Financial District/South Beach
03/14/2021 12:20:00 PM,12:20:00,2021,March,Sunday,North Beach
10/07/2006 11:20:00 PM,23:20:00,2006,October,Saturday,Chinatown
08/01/2017 08:45:00 AM,08:45:00,2017,August,Tuesday,Oceanview/Merced/Ingleside
03/26/2024 01:00:00 PM,13:00:00,2024,March,Tuesday,West of Twin Peaks
02/23/2021 05:23:00 PM,17:23:00,2021,February,Tuesday,Golden Gate Park
04/18/2006 10:48:00 PM,22:48:00,2006,April,Tuesday,Mission
07/20/2013 10:43:00 AM,10:43:00,2013,July,Saturday,Tenderloin
10/07/2020 07:08:00 PM,19:08:00,2020,October,Wednesday,Mission
01/09/2008 12:42:00 AM,00:42:00,2008,January,Wednesday,South of Market
10/31/2020 06:48:00 PM,18:48:00,2020,October,Saturday,Mission
02/08/2024 03:57:00 PM,15:57:00,2024,February,Thursday,Financial District/South Beach
11/27/2019 10:23:00 PM,22:23:00,2019,November,Wednesday,Western Addition
12/11/2018 07:30:00 PM,19:30:00,2018,December,Tuesday,Tenderloin
09/08/2021 11:08:00 PM,23:08:00,2021,September,Wednesday,Bernal Heights
05/12/2020 06:12:00 PM,18:12:00,2020,May,Tuesday,Bernal Heights
04/17/2020 07:59:00 PM,19:59:00,2020,April,Friday,Lone Mountain/USF
05/19/2007 12:44:00 AM,00:44:00,2007,May,Saturday,Mission
09/16/2024 05:40:00 PM,17:40:00,2024,September,Monday,Inner Sunset
03/24/2008 09:51:00 AM,09:51:00,2008,March,Monday,South of Market
09/08/2024 05:20:00 PM,17:20:00,2024,September,Sunday,Outer Mission
04/21/2006 01:35:00 AM,01:35:00,2006,April,Friday,South of Market
03/10/2008 07:52:00 PM,19:52:00,2008,March,Monday,Pacific Heights
12/21/2021 01:11:00 PM,13:11:00,2021,December,Tuesday,South of Market
02/18/2020 07:40:00 AM,07:40:00,2020,February,Tuesday,South of Market
08/06/2022 03:02:00 AM,03:02:00,2022,August,Saturday,Pacific Heights
11/12/2011 06:16:00 PM,18:16:00,2011,November,Saturday,South of Market
12/05/2019 08:14:00 AM,08:14:00,2019,December,Thursday,Excelsior
10/09/2020 02:15:00 PM,14:15:00,2020,October,Friday,Mission
09/06/2024 12:24:00 PM,12:24:00,2024,September,Friday,Russian Hill
03/25/2021 04:20:00 PM,16:20:00,2021,March,Thursday,West of Twin Peaks
09/27/2022 11:39:00 PM,23:39:00,2022,September,Tuesday,Tenderloin
09/04/2013 08:05:00 AM,08:05:00,2013,September,Wednesday,Financial District/South Beach
10/19/2024 03:45:00 PM,15:45:00,2024,October,Saturday,Pacific Heights
04/06/2018 11:30:00 AM,11:30:00,2018,April,Friday,Financial District/South Beach
02/18/2020 02:58:00 PM,14:58:00,2020,February,Tuesday,Pacific Heights
07/20/2020 04:58:00 PM,16:58:00,2020,July,Monday,Bayview Hunters Point
08/12/2020 12:00:00 PM,12:00:00,2020,August,Wednesday,Bayview Hunters Point
10/10/2007 12:16:00 AM,00:16:00,2007,October,Wednesday,West of Twin Peaks
01/22/2008 01:18:00 PM,13:18:00,2008,January,Tuesday,Tenderloin
03/31/2008 03:45:00 PM,15:45:00,2008,March,Monday,Financial District/South Beach
08/24/2022 02:00:00 PM,14:00:00,2022,August,Wednesday,Outer Richmond
06/17/2006 06:14:00 PM,18:14:00,2006,June,Saturday,
02/24/2024 02:09:00 AM,02:09:00,2024,February,Saturday,South of Market
12/21/2024 12:07:00 AM,00:07:00,2024,December,Saturday,Mission
02/22/2019 02:48:00 PM,14:48:00,2019,February,Friday,Financial District/South Beach
04/16/2008 11:40:00 AM,11:40:00,2008,April,Wednesday,Tenderloin
07/07/2022 06:41:00 PM,18:41:00,2022,July,Thursday,Golden Gate Park
02/26/2008 10:14:00 AM,10:14:00,2008,February,Tuesday,Mission
05/15/2021 09:55:00 AM,09:55:00,2021,May,Saturday,Golden Gate Park
09/10/2014 04:55:00 PM,16:55:00,2014,September,Wednesday,Outer Richmond
10/11/2020 05:28:00 PM,17:28:00,2020,October,Sunday,Outer Richmond
03/07/2022 06:09:00 AM,06:09:00,2022,March,Monday,Bayview Hunters Point
09/27/2022 04:39:00 PM,16:39:00,2022,September,Tuesday,Twin Peaks
07/13/2005 12:05:00 AM,00:05:00,2005,July,Wednesday,Mission
09/30/2018 04:22:00 PM,16:22:00,2018,September,Sunday,Bernal Heights
05/15/2008 03:58:00 PM,15:58:00,2008,May,Thursday,Bayview Hunters Point
07/19/2014 09:10:00 AM,09:10:00,2014,July,Saturday,Hayes Valley
12/01/2015 09:05:00 AM,09:05:00,2015,December,Tuesday,Mission
12/02/2020 02:00:00 PM,14:00:00,2020,December,Wednesday,Mission Bay
11/08/2013 06:12:00 PM,18:12:00,2013,November,Friday,Mission
11/02/2020 07:56:00 PM,19:56:00,2020,November,Monday,Portola
04/07/2015 09:30:00 AM,09:30:00,2015,April,Tuesday,Financial District/South Beach
04/17/2005 01:50:00 AM,01:50:00,2005,April,Sunday,South of Market
06/13/2021 09:14:00 AM,09:14:00,2021,June,Sunday,Potrero Hill
07/09/2006 11:29:00 PM,23:29:00,2006,July,Sunday,Golden Gate Park
06/18/2020 02:15:00 PM,14:15:00,2020,June,Thursday,Outer Richmond
12/23/2023 08:04:00 AM,08:04:00,2023,December,Saturday,Outer Mission
05/20/2021 08:00:00 PM,20:00:00,2021,May,Thursday,Financial District/South Beach
12/06/2023 08:00:00 AM,08:00:00,2023,December,Wednesday,Tenderloin
08/20/2008 08:01:00 PM,20:01:00,2008,August,Wednesday,Inner Sunset
10/20/2024 10:29:00 PM,22:29:00,2024,October,Sunday,Outer Mission
07/18/2021 06:43:00 PM,18:43:00,2021,July,Sunday,Tenderloin
07/18/2021 06:00:00 PM,18:00:00,2021,July,Sunday,Tenderloin
03/24/2008 10:18:00 PM,22:18:00,2008,March,Monday,Golden Gate Park
02/09/2020 03:32:00 PM,15:32:00,2020,February,Sunday,Sunset/Parkside
04/07/2018 07:22:00 AM,07:22:00,2018,April,Saturday,Tenderloin
09/15/2023 03:33:00 AM,03:33:00,2023,September,Friday,Tenderloin
02/26/2020 01:45:00 PM,13:45:00,2020,February,Wednesday,Mission
04/04/2008 03:35:00 PM,15:35:00,2008,April,Friday,Financial District/South Beach
04/23/2022 06:17:00 PM,18:17:00,2022,April,Saturday,Mission
06/25/2023 10:42:00 PM,22:42:00,2023,June,Sunday,Mission
05/26/2006 11:10:00 PM,23:10:00,2006,May,Friday,Mission
10/03/2014 12:15:00 PM,12:15:00,2014,October,Friday,Financial District/South Beach
01/14/2006 12:10:00 AM,00:10:00,2006,January,Saturday,Pacific Heights
12/27/2019 07:00:00 PM,19:00:00,2019,December,Friday,Mission
06/03/2006 01:50:00 AM,01:50:00,2006,June,Saturday,Outer Richmond
11/21/2015 02:16:00 AM,02:16:00,2015,November,Saturday,Lakeshore
07/10/2020 12:00:00 PM,12:00:00,2020,July,Friday,Golden Gate Park
10/25/2018 12:30:00 AM,00:30:00,2018,October,Thursday,Financial District/South Beach
01/17/2021 09:59:00 PM,21:59:00,2021,January,Sunday,Castro/Upper Market
08/28/2017 06:20:00 AM,06:20:00,2017,August,Monday,Tenderloin
05/22/2022 02:21:00 PM,14:21:00,2022,May,Sunday,Tenderloin
05/12/2016 11:19:00 AM,11:19:00,2016,May,Thursday,Hayes Valley
09/09/2024 05:00:00 PM,17:00:00,2024,September,Monday,Excelsior
04/28/2014 01:33:00 PM,13:33:00,2014,April,Monday,South of Market
04/17/2008 03:48:00 PM,15:48:00,2008,April,Thursday,Mission
11/25/2014 05:14:00 PM,17:14:00,2014,November,Tuesday,Western Addition
01/19/2013 02:18:00 AM,02:18:00,2013,January,Saturday,North Beach
08/23/2022 09:00:00 PM,21:00:00,2022,August,Tuesday,Outer Mission
09/25/2020 02:46:00 AM,02:46:00,2020,September,Friday,Castro/Upper Market
10/26/2021 06:39:00 PM,18:39:00,2021,October,Tuesday,Mission
09/20/2022 06:26:00 AM,06:26:00,2022,September,Tuesday,Mission
01/23/2013 05:35:00 PM,17:35:00,2013,January,Wednesday,Mission
03/12/2020 11:04:00 AM,11:04:00,2020,March,Thursday,Marina
04/20/2008 05:04:00 PM,17:04:00,2008,April,Sunday,Twin Peaks
01/25/2021 07:39:00 PM,19:39:00,2021,January,Monday,Mission
05/01/2021 01:15:00 AM,01:15:00,2021,May,Saturday,North Beach
12/18/2020 07:34:00 PM,19:34:00,2020,December,Friday,Outer Richmond
05/16/2021 10:55:00 PM,22:55:00,2021,May,Sunday,Excelsior
09/13/2015 11:44:00 AM,11:44:00,2015,September,Sunday,Tenderloin
11/02/2024 02:45:00 PM,14:45:00,2024,November,Saturday,Financial District/South Beach
04/02/2006 12:18:00 AM,00:18:00,2006,April,Sunday,Visitacion Valley
11/07/2020 06:31:00 PM,18:31:00,2020,November,Saturday,Bayview Hunters Point
09/16/2020 07:50:00 PM,19:50:00,2020,September,Wednesday,Nob Hill
04/27/2023 06:51:00 AM,06:51:00,2023,April,Thursday,Mission
05/09/2016 07:46:00 AM,07:46:00,2016,May,Monday,Oceanview/Merced/Ingleside
03/04/2020 10:11:00 PM,22:11:00,2020,March,Wednesday,Mission
12/04/2015 04:19:00 PM,16:19:00,2015,December,Friday,South of Market
03/09/2020 09:21:00 AM,09:21:00,2020,March,Monday,Financial District/South Beach
09/01/2005 12:35:00 AM,00:35:00,2005,September,Thursday,Bernal Heights
12/14/2014 11:13:00 AM,11:13:00,2014,December,Sunday,Tenderloin
03/09/2019 11:13:00 PM,23:13:00,2019,March,Saturday,Tenderloin
03/15/2017 06:18:00 PM,18:18:00,2017,March,Wednesday,Oceanview/Merced/Ingleside
03/31/2008 01:05:00 PM,13:05:00,2008,March,Monday,Sunset/Parkside
09/10/2024 01:40:00 PM,13:40:00,2024,September,Tuesday,Potrero Hill
08/15/2019 12:15:00 PM,12:15:00,2019,August,Thursday,Sunset/Parkside
08/13/2020 10:02:00 PM,22:02:00,2020,August,Thursday,Bayview Hunters Point
07/09/2020 09:43:00 PM,21:43:00,2020,July,Thursday,Noe Valley
08/24/2021 08:45:00 PM,20:45:00,2021,August,Tuesday,Bernal Heights
11/08/2021 02:11:00 PM,14:11:00,2021,November,Monday,Excelsior
04/16/2016 02:13:00 PM,14:13:00,2016,April,Saturday,Inner Sunset
09/12/2020 09:54:00 PM,21:54:00,2020,September,Saturday,Mission
10/31/2005 12:15:00 AM,00:15:00,2005,October,Monday,Western Addition
06/15/2020 07:57:00 AM,07:57:00,2020,June,Monday,Outer Mission
07/12/2021 10:20:00 PM,22:20:00,2021,July,Monday,Castro/Upper Market
09/13/2021 07:50:00 PM,19:50:00,2021,September,Monday,Tenderloin
09/11/2020 10:58:00 AM,10:58:00,2020,September,Friday,Mission
02/15/2008 08:25:00 PM,20:25:00,2008,February,Friday,Sunset/Parkside
12/06/2023 03:18:00 PM,15:18:00,2023,December,Wednesday,Presidio Heights
08/26/2022 11:38:00 PM,23:38:00,2022,August,Friday,Financial District/South Beach
04/24/2020 03:35:00 PM,15:35:00,2020,April,Friday,Western Addition
09/18/2024 11:29:00 AM,11:29:00,2024,September,Wednesday,Bernal Heights
05/28/2022 12:07:00 AM,00:07:00,2022,May,Saturday,Bayview Hunters Point
12/11/2011 12:30:00 AM,00:30:00,2011,December,Sunday,Portola
02/28/2016 06:33:00 PM,18:33:00,2016,February,Sunday,Seacliff
08/20/2022 09:23:00 PM,21:23:00,2022,August,Saturday,Mission
05/23/2008 05:28:00 PM,17:28:00,2008,May,Friday,Golden Gate Park
02/23/2019 08:45:00 AM,08:45:00,2019,February,Saturday,South of Market
03/21/2008 11:37:00 AM,11:37:00,2008,March,Friday,Financial District/South Beach
08/19/2022 06:52:00 PM,18:52:00,2022,August,Friday,Financial District/South Beach
06/20/2022 09:27:00 AM,09:27:00,2022,June,Monday,Bayview Hunters Point
03/09/2006 01:10:00 AM,01:10:00,2006,March,Thursday,Bernal Heights
11/04/2021 05:02:00 AM,05:02:00,2021,November,Thursday,Outer Richmond
01/24/2008 09:48:00 AM,09:48:00,2008,January,Thursday,Mission
08/16/2018 10:30:00 AM,10:30:00,2018,August,Thursday,Bayview Hunters Point
10/09/2012 09:49:00 AM,09:49:00,2012,October,Tuesday,Haight Ashbury
01/27/2017 04:00:00 PM,16:00:00,2017,January,Friday,Mission
09/06/2022 09:50:00 PM,21:50:00,2022,September,Tuesday,Bayview Hunters Point
04/16/2005 12:40:00 AM,00:40:00,2005,April,Saturday,Russian Hill
09/09/2007 01:28:00 AM,01:28:00,2007,September,Sunday,Tenderloin
08/12/2022 08:51:00 PM,20:51:00,2022,August,Friday,Mission
12/02/2014 10:48:00 AM,10:48:00,2014,December,Tuesday,Seacliff
03/05/2008 05:10:00 PM,17:10:00,2008,March,Wednesday,Hayes Valley
03/29/2024 11:06:00 AM,11:06:00,2024,March,Friday,Tenderloin
08/30/2021 05:15:00 PM,17:15:00,2021,August,Monday,Portola
03/30/2008 05:42:00 PM,17:42:00,2008,March,Sunday,Mission
04/02/2015 10:09:00 AM,10:09:00,2015,April,Thursday,Inner Sunset
11/22/2021 07:03:00 PM,19:03:00,2021,November,Monday,Mission
04/05/2014 11:41:00 PM,23:41:00,2014,April,Saturday,Mission
06/07/2021 03:12:00 PM,15:12:00,2021,June,Monday,Russian Hill
08/06/2022 12:15:00 AM,00:15:00,2022,August,Saturday,Golden Gate Park
08/28/2022 03:06:00 PM,15:06:00,2022,August,Sunday,Oceanview/Merced/Ingleside
04/19/2013 07:15:00 AM,07:15:00,2013,April,Friday,Pacific Heights
07/24/2014 05:28:00 PM,17:28:00,2014,July,Thursday,Mission
07/23/2014 06:42:00 AM,06:42:00,2014,July,Wednesday,Mission
01/12/2022 04:17:00 PM,16:17:00,2022,January,Wednesday,Russian Hill
04/09/2014 02:07:00 PM,14:07:00,2014,April,Wednesday,Financial District/South Beach
10/07/2020 08:30:00 AM,08:30:00,2020,October,Wednesday,Mission
04/16/2006 11:41:00 PM,23:41:00,2006,April,Sunday,Twin Peaks
03/18/2020 05:06:00 PM,17:06:00,2020,March,Wednesday,Mission
05/31/2020 04:32:00 PM,16:32:00,2020,May,Sunday,Mission
08/22/2014 11:50:00 AM,11:50:00,2014,August,Friday,Financial District/South Beach
07/01/2021 05:10:00 PM,17:10:00,2021,July,Thursday,Bernal Heights
10/24/2019 10:28:00 PM,22:28:00,2019,October,Thursday,Mission
12/04/2023 11:12:00 AM,11:12:00,2023,December,Monday,Tenderloin
04/17/2007 01:58:00 AM,01:58:00,2007,April,Tuesday,Pacific Heights
12/02/2020 08:00:00 AM,08:00:00,2020,December,Wednesday,Bayview Hunters Point
01/30/2008 08:21:00 PM,20:21:00,2008,January,Wednesday,Sunset/Parkside
04/27/2008 05:42:00 AM,05:42:00,2008,April,Sunday,Bayview Hunters Point
07/25/2012 08:59:00 AM,08:59:00,2012,July,Wednesday,Bayview Hunters Point
10/05/2005 10:18:00 PM,22:18:00,2005,October,Wednesday,Golden Gate Park
07/09/2013 09:54:00 AM,09:54:00,2013,July,Tuesday,Lakeshore
11/19/2020 12:35:00 PM,12:35:00,2020,November,Thursday,Bernal Heights
07/08/2017 01:04:00 PM,13:04:00,2017,July,Saturday,Tenderloin
05/21/2019 07:35:00 AM,07:35:00,2019,May,Tuesday,Castro/Upper Market
04/18/2021 07:15:00 AM,07:15:00,2021,April,Sunday,Outer Mission
03/02/2015 12:34:00 PM,12:34:00,2015,March,Monday,Mission
12/15/2020 05:54:00 PM,17:54:00,2020,December,Tuesday,Portola
02/22/2022 04:30:00 PM,16:30:00,2022,February,Tuesday,Russian Hill
02/28/2020 09:02:00 AM,09:02:00,2020,February,Friday,Bayview Hunters Point
11/27/2020 01:30:00 PM,13:30:00,2020,November,Friday,Lakeshore
09/28/2024 09:35:00 PM,21:35:00,2024,September,Saturday,Golden Gate Park
01/03/2008 07:32:00 AM,07:32:00,2008,January,Thursday,Sunset/Parkside
10/17/2018 05:58:00 PM,17:58:00,2018,October,Wednesday,Portola
08/09/2022 01:40:00 PM,13:40:00,2022,August,Tuesday,South of Market
05/03/2013 11:45:00 AM,11:45:00,2013,May,Friday,North Beach
07/30/2020 07:08:00 PM,19:08:00,2020,July,Thursday,Golden Gate Park
10/01/2019 01:15:00 PM,13:15:00,2019,October,Tuesday,Mission Bay
03/14/2008 12:56:00 AM,00:56:00,2008,March,Friday,South of Market
10/01/2020 02:57:00 PM,14:57:00,2020,October,Thursday,South of Market
03/23/2022 09:31:00 AM,09:31:00,2022,March,Wednesday,Excelsior
06/23/2020 12:50:00 PM,12:50:00,2020,June,Tuesday,Outer Mission
11/18/2020 06:54:00 PM,18:54:00,2020,November,Wednesday,South of Market
10/18/2020 02:56:00 AM,02:56:00,2020,October,Sunday,Pacific Heights
11/30/2021 12:03:00 PM,12:03:00,2021,November,Tuesday,Oceanview/Merced/Ingleside
02/22/2008 03:41:00 PM,15:41:00,2008,February,Friday,Castro/Upper Market
08/15/2021 01:07:00 PM,13:07:00,2021,August,Sunday,Bayview Hunters Point
04/07/2021 10:15:00 PM,22:15:00,2021,April,Wednesday,Bernal Heights
04/04/2014 06:05:00 AM,06:05:00,2014,April,Friday,Chinatown
10/16/2021 02:56:00 PM,14:56:00,2021,October,Saturday,Outer Richmond
10/22/2021 08:57:00 AM,08:57:00,2021,October,Friday,Financial District/South Beach
12/19/2018 05:45:00 PM,17:45:00,2018,December,Wednesday,Pacific Heights
04/12/2020 03:42:00 PM,15:42:00,2020,April,Sunday,Excelsior
03/07/2008 12:53:00 PM,12:53:00,2008,March,Friday,Outer Richmond
10/12/2024 02:35:00 AM,02:35:00,2024,October,Saturday,Mission
08/27/2020 01:50:00 PM,13:50:00,2020,August,Thursday,Presidio Heights
02/15/2008 01:44:00 AM,01:44:00,2008,February,Friday,Haight Ashbury
10/10/2019 08:25:00 PM,20:25:00,2019,October,Thursday,Russian Hill
06/17/2020 10:32:00 PM,22:32:00,2020,June,Wednesday,Tenderloin
05/31/2024 01:37:00 PM,13:37:00,2024,May,Friday,Bayview Hunters Point
02/18/2005 12:35:00 AM,00:35:00,2005,February,Friday,Outer Richmond
12/30/2020 11:46:00 AM,11:46:00,2020,December,Wednesday,Excelsior
12/02/2023 09:05:00 AM,09:05:00,2023,December,Saturday,Mission
11/12/2021 02:06:00 PM,14:06:00,2021,November,Friday,Sunset/Parkside
03/04/2015 12:00:00 PM,12:00:00,2015,March,Wednesday,South of Market
12/03/2019 01:25:00 PM,13:25:00,2019,December,Tuesday,Tenderloin
04/14/2020 06:32:00 PM,18:32:00,2020,April,Tuesday,Bayview Hunters Point
12/22/2019 10:38:00 PM,22:38:00,2019,December,Sunday,Lakeshore
10/08/2024 06:19:00 AM,06:19:00,2024,October,Tuesday,Oceanview/Merced/Ingleside
05/11/2008 06:39:00 AM,06:39:00,2008,May,Sunday,Nob Hill
03/03/2007 10:37:00 PM,22:37:00,2007,March,Saturday,Mission
09/15/2022 05:49:00 AM,05:49:00,2022,September,Thursday,Pacific Heights
10/23/2020 09:40:00 AM,09:40:00,2020,October,Friday,Oceanview/Merced/Ingleside
11/02/2020 03:10:00 PM,15:10:00,2020,November,Monday,Mission
11/17/2019 04:11:00 PM,16:11:00,2019,November,Sunday,Mission
04/17/2006 11:05:00 PM,23:05:00,2006,April,Monday,Tenderloin
03/28/2021 06:05:00 PM,18:05:00,2021,March,Sunday,Haight Ashbury
11/25/2011 04:57:00 PM,16:57:00,2011,November,Friday,South of Market
12/06/2014 02:53:00 PM,14:53:00,2014,December,Saturday,Oceanview/Merced/Ingleside
07/26/2021 01:54:00 PM,13:54:00,2021,July,Monday,Bayview Hunters Point
09/26/2022 10:06:00 AM,10:06:00,2022,September,Monday,Outer Richmond
01/10/2024 08:54:00 PM,20:54:00,2024,January,Wednesday,Excelsior
10/22/2020 01:30:00 PM,13:30:00,2020,October,Thursday,Mission
06/13/2024 12:05:00 AM,00:05:00,2024,June,Thursday,South of Market
11/18/2019 08:33:00 PM,20:33:00,2019,November,Monday,Tenderloin
05/25/2024 11:53:00 PM,23:53:00,2024,May,Saturday,Golden Gate Park
02/28/2021 03:52:00 PM,15:52:00,2021,February,Sunday,Mission
08/19/2022 08:00:00 PM,20:00:00,2022,August,Friday,Financial District/South Beach
07/01/2020 08:08:00 AM,08:08:00,2020,July,Wednesday,Inner Richmond
07/12/2024 08:28:00 AM,08:28:00,2024,July,Friday,Noe Valley
11/14/2013 02:12:00 PM,14:12:00,2013,November,Thursday,Portola
09/30/2021 02:20:00 PM,14:20:00,2021,September,Thursday,Mission
09/22/2022 02:00:00 AM,02:00:00,2022,September,Thursday,Bernal Heights
01/12/2020 12:05:00 AM,00:05:00,2020,January,Sunday,South of Market
12/31/2024 08:40:00 PM,20:40:00,2024,December,Tuesday,Visitacion Valley
06/07/2020 12:20:00 PM,12:20:00,2020,June,Sunday,Outer Mission
05/17/2021 08:42:00 PM,20:42:00,2021,May,Monday,Mission Bay
08/24/2021 09:40:00 PM,21:40:00,2021,August,Tuesday,Mission
10/24/2020 06:30:00 PM,18:30:00,2020,October,Saturday,Financial District/South Beach
12/29/2021 02:01:00 PM,14:01:00,2021,December,Wednesday,Bayview Hunters Point
03/19/2014 05:52:00 PM,17:52:00,2014,March,Wednesday,Portola
12/03/2019 07:10:00 PM,19:10:00,2019,December,Tuesday,Chinatown
03/20/2020 01:41:00 PM,13:41:00,2020,March,Friday,Bayview Hunters Point
11/30/2005 12:40:00 AM,00:40:00,2005,November,Wednesday,West of Twin Peaks
02/05/2016 07:35:00 PM,19:35:00,2016,February,Friday,Oceanview/Merced/Ingleside
08/11/2020 10:28:00 AM,10:28:00,2020,August,Tuesday,Mission
09/26/2022 06:15:00 AM,06:15:00,2022,September,Monday,Tenderloin
01/16/2021 05:42:00 AM,05:42:00,2021,January,Saturday,Tenderloin
07/08/2021 06:30:00 AM,06:30:00,2021,July,Thursday,Mission
04/19/2022 02:09:00 PM,14:09:00,2022,April,Tuesday,Bayview Hunters Point
09/23/2005 01:28:00 AM,01:28:00,2005,September,Friday,Mission
07/26/2020 05:38:00 AM,05:38:00,2020,July,Sunday,North Beach
05/18/2005 12:03:00 AM,00:03:00,2005,May,Wednesday,Western Addition
03/26/2013 03:15:00 PM,15:15:00,2013,March,Tuesday,Bernal Heights
02/17/2008 07:06:00 PM,19:06:00,2008,February,Sunday,Nob Hill
05/16/2008 05:30:00 PM,17:30:00,2008,May,Friday,Castro/Upper Market
01/20/2020 01:19:00 PM,13:19:00,2020,January,Monday,Russian Hill
01/14/2006 01:55:00 AM,01:55:00,2006,January,Saturday,Mission
07/16/2024 09:15:00 AM,09:15:00,2024,July,Tuesday,Bayview Hunters Point
08/18/2012 05:38:00 PM,17:38:00,2012,August,Saturday,Mission
05/05/2022 10:48:00 PM,22:48:00,2022,May,Thursday,Financial District/South Beach
12/13/2023 04:01:00 PM,16:01:00,2023,December,Wednesday,Mission
12/05/2016 01:41:00 PM,13:41:00,2016,December,Monday,Financial District/South Beach
03/04/2008 09:19:00 PM,21:19:00,2008,March,Tuesday,South of Market
04/22/2007 01:15:00 AM,01:15:00,2007,April,Sunday,Castro/Upper Market
07/25/2007 10:34:00 PM,22:34:00,2007,July,Wednesday,Bayview Hunters Point
01/01/2005 10:57:00 PM,22:57:00,2005,January,Saturday,Golden Gate Park
01/29/2005 10:11:00 PM,22:11:00,2005,January,Saturday,Inner Richmond
04/23/2021 12:00:00 PM,12:00:00,2021,April,Friday,Tenderloin
08/31/2021 04:00:00 PM,16:00:00,2021,August,Tuesday,Portola
02/02/2020 12:48:00 AM,00:48:00,2020,February,Sunday,Inner Richmond
07/09/2005 11:15:00 PM,23:15:00,2005,July,Saturday,Pacific Heights
12/03/2023 06:26:00 PM,18:26:00,2023,December,Sunday,Golden Gate Park
02/19/2020 02:18:00 PM,14:18:00,2020,February,Wednesday,Financial District/South Beach
12/02/2019 09:01:00 AM,09:01:00,2019,December,Monday,Mission
04/08/2006 12:55:00 AM,00:55:00,2006,April,Saturday,Financial District/South Beach
12/21/2021 10:05:00 AM,10:05:00,2021,December,Tuesday,South of Market
02/21/2021 03:44:00 PM,15:44:00,2021,February,Sunday,Pacific Heights
06/23/2021 03:55:00 PM,15:55:00,2021,June,Wednesday,Inner Sunset
03/30/2019 02:40:00 PM,14:40:00,2019,March,Saturday,Pacific Heights
03/28/2009 11:59:00 PM,23:59:00,2009,March,Saturday,Mission
02/27/2020 06:37:00 AM,06:37:00,2020,February,Thursday,South of Market
06/16/2021 08:34:00 AM,08:34:00,2021,June,Wednesday,Tenderloin
04/29/2022 04:25:00 PM,16:25:00,2022,April,Friday,Financial District/South Beach
12/15/2021 10:24:00 PM,22:24:00,2021,December,Wednesday,Hayes Valley
03/30/2021 11:58:00 AM,11:58:00,2021,March,Tuesday,Western Addition
05/29/2008 07:54:00 AM,07:54:00,2008,May,Thursday,Tenderloin
09/02/2014 06:21:00 AM,06:21:00,2014,September,Tuesday,Hayes Valley
02/16/2008 07:10:00 PM,19:10:00,2008,February,Saturday,Golden Gate Park
08/14/2007 01:22:00 AM,01:22:00,2007,August,Tuesday,Tenderloin
01/25/2021 07:22:00 PM,19:22:00,2021,January,Monday,Russian Hill
08/13/2024 03:22:00 PM,15:22:00,2024,August,Tuesday,West of Twin Peaks
03/29/2021 02:00:00 PM,14:00:00,2021,March,Monday,Golden Gate Park
12/28/2021 01:30:00 PM,13:30:00,2021,December,Tuesday,Nob Hill
01/04/2020 11:00:00 AM,11:00:00,2020,January,Saturday,Noe Valley
05/25/2022 12:55:00 PM,12:55:00,2022,May,Wednesday,Mission
08/09/2019 09:38:00 AM,09:38:00,2019,August,Friday,Sunset/Parkside
09/07/2020 06:35:00 PM,18:35:00,2020,September,Monday,Lone Mountain/USF
07/13/2013 12:55:00 PM,12:55:00,2013,July,Saturday,Bayview Hunters Point
